SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,
BEWLTD,BEW Engineering Limited,SM,16-Sep-21,10,INE0HQI01014,10,
DUGLOBAL,DUDIGITAL GLOBAL LIMITED,SM,26-Aug-21,2,INE0HPK01020,2,
NPST,Network People Services Technologies Limited,SM,10-Aug-21,10,INE0FFK01017,10,
REXPIPES,Rex Pipes And Cables Industries Limited,SM,10-Aug-21,10,INE00D001018,10,
WALPAR,Walpar Nutritions Limited,SM,13-Jul-21,10,INE0G2G01015,10,
AILIMITED,Abhishek Integrations Limited,ST,21-Jun-21,10,INE0CAJ01017,10,
VMARCIND,V Marc India Limited,SM,09-Apr-21,10,INE0GXK01018,10,
SIDDHIKA,Siddhika Coatings Limited,SM,07-Apr-21,10,INE0A1E01018,10,
PARTYCRUS,Party Cruisers Limited,SM,05-Mar-21,10,INE06ZX01015,10,
ASCOM,Ascom Leasing & Investments Limited,ST,06-Dec-19,10,INE08KD01015,10,
GOLDKART,Goldkart Jewels Limited,ST,15-Oct-19,10,INE06MH01016,10,
SHIVAUM,Shiv Aum Steels Limited,ST,01-Oct-19,10,INE719F01016,10,
SECL,Salasar Exteriors and Contour Limited,SM,12-Sep-19,1,INE00Y701026,1,
ABINFRA,A B Infrabuild Limited,SM,12-Jul-19,10,INE00YB01017,10,
KHFM,Khfm Hospitality And Facility Management Services Limited,SM,12-Apr-19,10,INE00UG01014,10,
MINDPOOL,Mindpool Technologies Limited,ST,28-Feb-19,10,INE00RQ01019,10,
SURANI,Surani Steel Tubes Limited,SM,06-Feb-19,10,INE01ZJ01015,10,
DRSDILIP,DRS Dilip Roadlines Limited,SM,10-Dec-18,10,INE02CV01017,10,
SHUBHLAXMI,Shubhlaxmi Jewel Art Limited,SM,04-Dec-18,10,INE01Z401013,10,
UWCSL,Ultra Wiring Connectivity System Limited,SM,26-Oct-18,10,INE00F301010,10,
PARIN,Parin Furniture Limited,SM,09-Oct-18,10,INE00U801010,10,
SPECTRUM,Spectrum Electrical Industries Limited,SM,01-Oct-18,10,INE01EO01010,10,
UCL,Ushanti Colour Chem Limited,SM,02-Aug-18,10,INE00NI01015,10,
AMBANIORGO,AMBANI ORGOCHEM LIMITED,SM,18-Jul-18,10,INE00C501018,10,
JAKHARIA,JAKHARIA FABRIC LIMITED,ST,11-Jul-18,10,INE00N401018,10,
MAHICKRA,Mahickra Chemicals Limited,SM,26-Apr-18,10,INE961Y01015,10,
VERA,Vera Synthetic Limited,SM,12-Apr-18,10,INE709Z01015,10,
CONTI,Continental Seeds and Chemicals Limited,ST,04-Apr-18,10,INE340Z01019,10,
GIRIRAJ,Giriraj Civil Developers Limited,SM,02-Apr-18,10,INE614Z01017,10,
MDL,Marvel Decor Limited,SM,23-Mar-18,10,INE575Z01010,10,
MHHL,Mohini Health & Hygiene Limited,SM,16-Feb-18,10,INE450S01011,10,
AMJUMBO,A and M Jumbo Bags Limited,SM,12-Feb-18,10,INE749Y01014,10,
VASA,Vasa Retail and Overseas Ltd,ST,06-Feb-18,10,INE068Z01016,10,
SOLEX,Solex Energy Limited,SM,05-Feb-18,10,INE880Y01017,10,
SMVD,SMVD Poly Pack Limited,SM,26-Dec-17,10,INE702Y01013,10,
INNOVANA,Innovana Thinklabs Limited,SM,12-Dec-17,10,INE403Y01018,10,
FELIX,Felix Industries Limited,SM,05-Dec-17,10,INE901X01013,10,
PULZ,Pulz Electronics Limited,SM,24-Nov-17,10,INE335X01014,10,
AISL,ANI Integrated Services Limited,SM,20-Nov-17,10,INE635Y01015,10,
MILTON,Milton Industries Limited,SM,16-Oct-17,10,INE376Y01016,10,
OMFURN,Omfurn India Limited,SM,13-Oct-17,10,INE338Y01016,10,
BETA,Beta Drugs Limited,SM,12-Oct-17,10,INE351Y01019,10,
CMMIPL,CMM Infraprojects Limited,ST,12-Oct-17,10,INE289S01013,10,
GOLDSTAR,Goldstar Power Limited,SM,10-Oct-17,1,INE405Y01021,1,
TIRUPATI,Shree Tirupati Balajee FIBC Limited,SM,05-Oct-17,10,INE238Y01018,10,
RMDRIP,R M Drip and Sprinklers Systems Limited,SM,04-Oct-17,10,INE219Y01018,10,
CADSYS,Cadsys (India) Limited,SM,04-Oct-17,10,INE090Y01013,10,
MPTODAY,Madhya Pradesh Today Media Limited,SM,29-Sep-17,10,INE105Y01019,10,
MANAV,Manav Infra Projects Limited,SM,18-Sep-17,10,INE104Y01012,10,
PASHUPATI,Pashupati Cotspin Limited,SM,08-Sep-17,10,INE124Y01010,10,
TRANSWIND,Transwind Infrastructures Limited,ST,12-Jul-17,10,INE792X01016,10,
ACCORD,Accord Synergy Limited,SM,06-Jul-17,10,INE113X01015,10,
VSCL,Vadivarhe Speciality Chemicals Limited,SM,02-Jun-17,10,INE551Q01028,10,
JALAN,Jalan Transolutions (India) Limited,ST,31-May-17,10,INE349X01015,10,
ASLIND,ASL Industries Limited,SM,18-Apr-17,10,INE617I01024,10,
PROLIFE,Prolife Industries Limited,SM,09-Jan-17,10,INE994V01012,10,
GICL,Globe International Carriers Limited,SM,19-Oct-16,10,INE947T01014,10,
DRL,Dhanuka Realty Limited,SM,18-Oct-16,10,INE704V01015,10,
AURDIS,Aurangabad Distillery Limited,SM,17-Oct-16,10,INE448V01019,10,
GRETEX,Gretex Industries Limited,ST,14-Oct-16,10,INE985P01012,10,
JETKNIT,Jet Knitwears Limited,ST,07-Oct-16,10,INE564T01017,10,
AVSL,AVSL Industries Limited,ST,06-Oct-16,10,INE522V01011,10,
KKVAPOW,KKV Agro Powers Limited,SM,15-Jul-16,10,INE239T01016,10,
PERFECT,Perfect Infraengineers Limited,ST,20-Nov-15,10,INE925S01012,10,
AHIMSA,Ahimsa Industries Limited,ST,15-Oct-15,10,INE136T01014,10,
SHAIVAL,Shaival Reality Limited,ST,01-Oct-15,10,INE262S01010,10,
EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,SM,13-Aug-15,10,INE332S01011,10,
